Name,Total,Name-Date,Qty-Price
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.73,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 11,2 shares at $42.37
Vanguard High Dividend Yield ETF Market Buy,$87.95,Vanguard High Dividend Yield ETF Market BuyJul 9,1 share at $87.95
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.90,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 9,2 shares at $42.45
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$170.38,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 8,4 shares at $42.60
Vanguard High Dividend Yield ETF Market Buy,$176.28,Vanguard High Dividend Yield ETF Market BuyJul 8,2 shares at $88.14
Vanguard Mega Cap ETF Market Buy,$102.60,Vanguard Mega Cap ETF Market BuyJul 8,1 share at $102.60
Vanguard S&P 500 ETF Market Buy,$545.10,Vanguard S&P 500 ETF Market BuyJul 8,2 shares at $272.55
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.02,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 1,2 shares at $42.01
Vanguard High Dividend Yield ETF Market Buy,$86.65,Vanguard High Dividend Yield ETF Market BuyJun 26,1 share at $86.65
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.11,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 26,2 shares at $41.56
Sirius XM Market Buy,$55.40,Sirius XM Market BuyJun 25,10 shares at $5.54
Vanguard Mega Cap ETF Market Buy,$202.18,Vanguard Mega Cap ETF Market BuyJun 25,2 shares at $101.09
Vanguard High Dividend Yield ETF Market Buy,$173.67,Vanguard High Dividend Yield ETF Market BuyJun 25,2 shares at $86.84
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$167.12,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 25,4 shares at $41.78
Vanguard S&P 500 ETF Market Buy,$536.72,Vanguard S&P 500 ETF Market BuyJun 25,2 shares at $268.36
Vanguard Mega Cap ETF Market Buy,$102.18,Vanguard Mega Cap ETF Market BuyJun 24,1 share at $102.18
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.20,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 24,2 shares at $42.10
Vanguard High Dividend Yield ETF Market Buy,$175.04,Vanguard High Dividend Yield ETF Market BuyJun 24,2 shares at $87.52
Vanguard S&P 500 ETF Market Buy,$542.38,Vanguard S&P 500 ETF Market BuyJun 24,2 shares at $271.19
Sirius XM Market Buy,$281.49,Sirius XM Market BuyJun 17,50 shares at $5.63
Vanguard High Dividend Yield ETF Market Buy,$86.00,Vanguard High Dividend Yield ETF Market BuyJun 17,1 share at $86.00
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.88,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 17,2 shares at $41.94
Vanguard S&P 500 ETF Market Buy,$265.84,Vanguard S&P 500 ETF Market BuyJun 17,1 share at $265.84
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.89,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 14,2 shares at $41.95
Vanguard High Dividend Yield ETF Market Buy,$86.91,Vanguard High Dividend Yield ETF Market BuyJun 14,1 share at $86.91
Vanguard S&P 500 ETF Market Buy,$265.96,Vanguard S&P 500 ETF Market BuyJun 14,1 share at $265.96
Vanguard High Dividend Yield ETF Market Buy,$86.60,Vanguard High Dividend Yield ETF Market BuyJun 12,1 share at $86.60
Vanguard S&P 500 ETF Market Buy,$264.87,Vanguard S&P 500 ETF Market BuyJun 12,1 share at $264.87
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.14,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 12,2 shares at $41.57
Vanguard High Dividend Yield ETF Market Buy,$86.73,Vanguard High Dividend Yield ETF Market BuyJun 11,1 share at $86.73
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.02,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 11,2 shares at $41.51
Vanguard S&P 500 ETF Market Buy,$265.48,Vanguard S&P 500 ETF Market BuyJun 11,1 share at $265.48
Vanguard High Dividend Yield ETF Market Buy,$86.60,Vanguard High Dividend Yield ETF Market BuyJun 10,1 share at $86.60
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$82.75,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 10,2 shares at $41.38
Vanguard S&P 500 ETF Market Buy,$265.84,Vanguard S&P 500 ETF Market BuyJun 10,1 share at $265.84
PowerShares S&P 500 High Dividend Low Volatility ETF Limit Buy,Canceled,PowerShares S&P 500 High Dividend Low Volatility ETF Limit BuyMay 31,
Vanguard High Dividend Yield ETF Limit Buy,$82.53,Vanguard High Dividend Yield ETF Limit BuyMay 31,1 share at $82.53
Vanguard S&P 500 ETF Market Buy,$252.97,Vanguard S&P 500 ETF Market BuyMay 31,1 share at $252.97
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$80.63,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyMay 30,2 shares at $40.32
Vanguard S&P 500 ETF Market Buy,$256.28,Vanguard S&P 500 ETF Market BuyMay 30,1 share at $256.28
Vanguard High Dividend Yield ETF Market Buy,$83.72,Vanguard High Dividend Yield ETF Market BuyMay 29,1 share at $83.72
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$80.96,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyMay 29,2 shares at $40.48
Vanguard S&P 500 ETF Market Buy,$255.39,Vanguard S&P 500 ETF Market BuyMay 29,1 share at $255.39
